SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,DateDNAExtracted,zoospore_estimates,Log_bd,infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,antifungal_ASVs,antifungal_reads,Propor_TotalAntiFungal,TTX_Richness,TotalTTX,Propor_TotalTTX,TTX_Real,TTX_RelativeAbundance,Notes
TMC-05,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,4.237,16,80.9,M,,,0,0,0,6202,60,5.89282313558783,4.52041585037046,0.765278411239099,NA,26,1988,0.320541760722348,2,4,0.00181818181818182,High,0.0247632018820033,NA
TMC-06,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,4.397,15,81.4,F,,,2950,3.46996920949996,1,10540,71,6.14405280486255,4.67023976284037,0.759419805739349,NA,42,1874,0.177798861480076,1,3,0.00136363636363636,High,0.0216763005780347,NA
TMC-07,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,0.503,14,75.3,M,,,0,0,0,2771,46,4.45020056920282,4.03398001899622,0.730322217997872,NA,27,593,0.214002165283291,1,4,0.00181818181818182,Low,0.0329407889318949,NA
TMC-08,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,0.548,20,83.9,M,,,557,2.74663419893758,1,4462,50,4.92463961052567,3.95869189413958,0.701416152543319,NA,35,1329,0.297848498431197,1,1,0.000454545454545455,Low,0.0216966804078976,NA
TMC-09,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,3.926,13,79.2,M,,,891,2.95036485437612,1,12636,113,8.47300684600509,5.26168555080908,0.771487900802208,NA,45,5834,0.461696739474517,2,26,0.0118181818181818,High,0.407587396143596,NA
TMC-10,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,4.583,15,79.8,M,,,0,0,0,3754,112,6.07945080543766,5.88834015790168,0.864996790283686,NA,76,3453,0.919818859882792,3,29,0.0131818181818182,High,0.481807609237415,NA
TMC-11,Swab,06/21/21,TMC,44.10186,-124.06072,Taricha_granulosa,Tg,NA,5.59,18,77.7,M,,,0,0,0,12143,97,9.26342288711703,5.19476756641787,0.787096389093585,NA,32,1762,0.145104175244997,2,5,0.00227272727272727,High,0.0916422287390029,Lethargic prior to the MS-222 anesthetization
Tt.10A1,10A1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.16666651,0.122752158,20.04,68.93,M,aquatic,1/10/22,0,0,0,6128,122,11.28516918,2.652663013,0.382738933,14.19178127,18,205,0.0334530026109661,1,2,0.000526,Low,0.0163185378590078,
Tt.10A2,10A2,2/20/20,Muir,37.862,-122.573239,Taricha_torosa,Tt,1.057675309,0.603085706,25.39,72.83,M,aquatic,1/9/22,0,0,0,10169,72,6.802486666,2.31037727,0.374457918,10.07822615,19,376,0.0369751204641558,1,3,0.000789,Low,0.00983380863408398,
Tt.10B1,10B1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.323943854,0.428018578,22.2,79.54,M,aquatic,1/10/22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
Tt.10B2,10B2,2/20/20,Muir,37.862,-122.573239,Taricha_torosa,Tt,5.53710409,2.615774881,29.16,69.55,M,aquatic,1/9/22,0,0,0,10407,134,12.59477183,2.429803697,0.343868246,11.35665251,21,432,0.0415105217641972,4,5,0.001315789,High,0.0384356683001826,
Tt.10C1,10C1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.121919759,1.563532743,22.34,73.33,M,aquatic,1/10/22,0,0,0,9383,5,0.712613991,0.763756356,0.328931959,2.146323452,2,43,0.00458275604817223,0,0,0,High,0,
Tt.10C2,10C2,2/20/20,Crocker,38.770492,-122.970651,Taricha_torosa,Tt,8.546336737,8.576157362,11.64,65.33,M,terrestrial,1/9/22,0,0,0,11372,66,5.103508674,2.642032702,0.437104638,14.04171725,29,3444,0.302849103060148,4,60,0.015789474,High,0.0351741118536757,This male was possibly a T. granulosa
Tt.10D1,10D1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.697500674,0.553130162,19.87,73.16,M,aquatic,1/10/22,0,0,0,12017,8,0.873617694,1.209479796,0.403159932,3.351740611,4,7,0.000582508113505867,0,0,0,Low,0,
Tt.10E1,10_E1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.234734727,0.776234625,23.99,78.96,M,aquatic,1/9/22,0,0,0,9643,21,2.553425262,1.239234015,0.282136716,3.452967532,12,111,0.0115109405786581,1,2,0.000526,Low,0.0103702167375298,
Tt.10F1,10F1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.436645527,0.40867308,25.02,74.9,M,aquatic,1/10/22,0,0,0,12402,10,1.637173973,1.394988576,0.419933405,4.034928476,5,5,0.000403160780519271,1,1,0.000263,Low,0.00806321561038542,
Tt.10G1,10G1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,0.378948746,0.779169443,28.51,84.6,M,aquatic,1/10/22,0,0,0,10664,17,1.805267279,1.084176742,0.265244428,2.957004439,12,92,0.0086271567891973,0,0,0,Low,0,
Tt.10H1,10H1,2/19/20,Madonna,37.003992,-121.681136,Taricha_torosa,Tt,1.867874946,0.644371719,18.3,75.94,M,aquatic,1/10/22,0,0,0,12211,14,2.229665164,1.089567642,0.286174435,2.972988401,9,84,0.00687904348538203,1,13,0.003421053,Low,0.00818933748259766,
Tt.10H4,10H4,5/11/20,Cold_Creek,34.09232115,-118.6477477,Taricha_torosa,Tt,1.322443271,0.98551511,12.57,61.47,F,non-gravid,1/9/22,398.3964,2.6014,1,9851,58,7.389329728,2.395100837,0.408861148,10.96930412,12,2003,0.203329611206984,0,0,0,Low,0,
